time_seconds,"record cu21, signal 0"
0.000000,-1.362500
0.004000,-1.610000
0.008000,-1.945000
0.012000,-2.352500
0.016000,-2.482500
0.020000,-2.300000
0.024000,-2.002500
0.028000,-1.702500
0.032000,-1.532500
0.036000,-1.552500
0.040000,-1.602500
0.044000,-1.557500
0.048000,-1.575000
0.052000,-1.897500
0.056000,-2.152500
0.060000,-2.037500
0.064000,-1.675000
0.068000,-1.300000
0.072000,-1.120000
0.076000,-1.232500
0.080000,-1.440000
0.084000,-1.547500
0.088000,-1.525000
0.092000,-1.450000
0.096000,-1.387500
0.100000,-1.122500
0.104000,-0.910000
0.108000,-0.802500
0.112000,-0.662500
0.116000,-0.490000
0.120000,-0.375000
0.124000,-0.290000
0.128000,-0.240000
0.132000,-0.425000
0.136000,-0.597500
0.140000,-0.525000
0.144000,-0.172500
0.148000,0.200000
0.152000,0.527500
0.156000,0.712500
0.160000,0.695000
0.164000,0.640000
0.168000,0.622500
0.172000,0.590000
0.176000,0.507500
0.180000,0.445000
0.184000,0.477500
0.188000,0.657500
0.192000,0.897500
0.196000,1.172500
0.200000,1.357500
0.204000,1.372500
0.208000,1.170000
0.212000,0.722500
0.216000,0.287500
0.220000,-0.177500
0.224000,-0.712500
0.228000,-1.332500
0.232000,-1.815000
0.236000,-2.052500
0.240000,-1.985000
0.244000,-1.787500
0.248000,-1.640000
0.252000,-1.675000
0.256000,-1.907500
0.260000,-2.347500
0.264000,-2.710000
0.268000,-2.622500
0.272000,-2.207500
0.276000,-1.602500
0.280000,-1.125000
0.284000,-1.227500
0.288000,-1.522500
0.292000,-1.547500
0.296000,-1.332500
0.300000,-1.190000
0.304000,-1.290000
0.308000,-1.507500
0.312000,-1.762500
0.316000,-1.747500
0.320000,-1.462500
0.324000,-1.212500
0.328000,-1.057500
0.332000,-0.922500
0.336000,-0.847500
0.340000,-0.732500
0.344000,-0.562500
0.348000,-0.415000
0.352000,-0.587500
0.356000,-0.947500
0.360000,-1.015000
0.364000,-0.607500
0.368000,0.000000
0.372000,0.472500
0.376000,0.652500
0.380000,0.597500
0.384000,0.420000
0.388000,0.422500
0.392000,0.445000
0.396000,0.050000
0.400000,-0.362500
0.404000,-0.397500
0.408000,-0.220000
0.412000,0.145000
0.416000,0.570000
0.420000,0.847500
0.424000,0.922500
0.428000,0.940000
0.432000,1.022500
0.436000,1.162500
0.440000,1.307500
0.444000,1.400000
0.448000,1.312500
0.452000,0.732500
0.456000,0.120000
0.460000,-0.322500
0.464000,-0.637500
0.468000,-0.910000
0.472000,-1.115000
0.476000,-1.287500
0.480000,-1.432500
0.484000,-1.562500
0.488000,-1.710000
0.492000,-1.887500
0.496000,-1.990000
0.500000,-2.012500
0.504000,-2.152500
0.508000,-2.650000
0.512000,-3.385000
0.516000,-3.265000
0.520000,-2.275000
0.524000,-1.307500
0.528000,-0.802500
0.532000,-0.807500
0.536000,-1.172500
0.540000,-1.447500
0.544000,-1.390000
0.548000,-1.290000
0.552000,-1.385000
0.556000,-1.645000
0.560000,-1.720000
0.564000,-1.510000
0.568000,-1.290000
0.572000,-1.165000
0.576000,-1.020000
0.580000,-0.927500
0.584000,-0.875000
0.588000,-0.760000
0.592000,-0.600000
0.596000,-0.475000
0.600000,-0.487500
0.604000,-0.425000
0.608000,-0.175000
0.612000,0.147500
0.616000,0.345000
0.620000,0.335000
0.624000,0.212500
0.628000,0.240000
0.632000,0.400000
0.636000,0.537500
0.640000,0.675000
0.644000,0.737500
0.648000,0.710000
0.652000,0.727500
0.656000,0.747500
0.660000,0.762500
0.664000,0.775000
0.668000,0.845000
0.672000,0.997500
0.676000,1.207500
0.680000,1.402500
0.684000,1.460000
0.688000,1.422500
0.692000,1.137500
0.696000,0.672500
0.700000,0.272500
0.704000,-0.072500
0.708000,-0.447500
0.712000,-0.862500
0.716000,-1.165000
0.720000,-1.265000
0.724000,-1.282500
0.728000,-1.335000
0.732000,-1.450000
0.736000,-1.562500
0.740000,-1.600000
0.744000,-1.587500
0.748000,-1.527500
0.752000,-1.537500
0.756000,-1.502500
0.760000,-1.340000
0.764000,-1.070000
0.768000,-0.932500
0.772000,-0.932500
0.776000,-0.990000
0.780000,-1.060000
0.784000,-1.052500
0.788000,-1.140000
0.792000,-1.147500
0.796000,-1.082500
0.800000,-1.032500
0.804000,-0.865000
0.808000,-0.637500
0.812000,-0.457500
0.816000,-0.372500
0.820000,-0.272500
0.824000,-0.107500
0.828000,0.052500
0.832000,0.162500
0.836000,0.302500
0.840000,0.437500
0.844000,0.565000
0.848000,0.690000
0.852000,0.772500
0.856000,0.865000
0.860000,0.947500
0.864000,1.020000
0.868000,1.047500
0.872000,1.132500
0.876000,1.210000
0.880000,1.270000
0.884000,1.312500
0.888000,1.265000
0.892000,1.100000
0.896000,0.982500
0.900000,1.037500
0.904000,1.235000
0.908000,1.507500
0.912000,1.707500
0.916000,1.870000
0.920000,2.002500
0.924000,2.057500
0.928000,1.985000
0.932000,1.797500
0.936000,1.445000
0.940000,1.037500
0.944000,0.687500
0.948000,0.320000
0.952000,-0.075000
0.956000,-0.465000
0.960000,-0.707500
0.964000,-0.627500
0.968000,-0.397500
0.972000,-0.285000
0.976000,-0.302500
0.980000,-0.302500
0.984000,-0.302500
0.988000,-0.277500
0.992000,-0.225000
0.996000,-0.337500
1.000000,-0.507500
1.004000,-0.597500
1.008000,-0.507500
1.012000,-0.257500
1.016000,0.020000
1.020000,0.252500
1.024000,0.397500
1.028000,0.190000
1.032000,-0.232500
1.036000,-0.457500
1.040000,-0.365000
1.044000,-0.072500
1.048000,0.295000
1.052000,0.582500
1.056000,0.735000
1.060000,0.797500
1.064000,0.825000
1.068000,0.890000
1.072000,0.925000
1.076000,0.952500
1.080000,1.047500
1.084000,1.175000
1.088000,1.245000
1.092000,1.335000
1.096000,1.560000
1.100000,1.832500
1.104000,1.962500
1.108000,1.925000
1.112000,1.865000
1.116000,1.770000
1.120000,1.607500
1.124000,1.452500
1.128000,1.465000
1.132000,1.690000
1.136000,1.985000
1.140000,2.200000
1.144000,2.235000
1.148000,2.170000
1.152000,1.977500
1.156000,1.835000
1.160000,1.875000
1.164000,2.182500
1.168000,2.475000
1.172000,2.632500
1.176000,2.340000
1.180000,1.722500
1.184000,1.140000
1.188000,0.812500
1.192000,0.645000
1.196000,0.397500
1.200000,0.072500
1.204000,-0.185000
1.208000,-0.240000
1.212000,-0.200000
1.216000,-0.200000
1.220000,-0.195000
1.224000,-0.200000
1.228000,-0.225000
1.232000,-0.210000
1.236000,-0.215000
1.240000,-0.302500
1.244000,-0.177500
1.248000,0.082500
1.252000,0.250000
1.256000,0.250000
1.260000,0.062500
1.264000,-0.290000
1.268000,-0.552500
1.272000,-0.420000
1.276000,-0.020000
1.280000,0.300000
1.284000,0.382500
1.288000,0.357500
1.292000,0.375000
1.296000,0.497500
1.300000,0.672500
1.304000,0.775000
1.308000,0.777500
1.312000,0.797500
1.316000,0.860000
1.320000,0.900000
1.324000,0.920000
1.328000,0.957500
1.332000,1.112500
1.336000,1.310000
1.340000,1.450000
1.344000,1.607500
1.348000,1.757500
1.352000,1.822500
1.356000,1.782500
1.360000,1.600000
1.364000,1.397500
1.368000,1.345000
1.372000,1.512500
1.376000,1.660000
1.380000,1.685000
1.384000,1.575000
1.388000,1.360000
1.392000,1.377500
1.396000,1.697500
1.400000,2.182500
1.404000,2.525000
1.408000,2.647500
1.412000,2.487500
1.416000,2.112500
1.420000,1.622500
1.424000,1.237500
1.428000,0.932500
1.432000,0.660000
1.436000,0.407500
1.440000,0.227500
1.444000,-0.075000
1.448000,-0.350000
1.452000,-0.585000
1.456000,-0.637500
1.460000,-0.662500
1.464000,-0.737500
1.468000,-0.785000
1.472000,-0.832500
1.476000,-0.847500
1.480000,-0.652500
1.484000,-0.390000
1.488000,-0.185000
1.492000,-0.097500
1.496000,-0.262500
1.500000,-0.520000
1.504000,-0.552500
1.508000,-0.360000
1.512000,-0.110000
1.516000,0.020000
1.520000,-0.075000
1.524000,-0.235000
1.528000,-0.327500
1.532000,-0.257500
1.536000,-0.190000
1.540000,-0.172500
1.544000,-0.090000
1.548000,0.015000
1.552000,0.087500
1.556000,0.135000
1.560000,0.195000
1.564000,0.282500
1.568000,0.445000
1.572000,0.660000
1.576000,0.810000
1.580000,0.845000
1.584000,0.870000
1.588000,0.887500
1.592000,0.925000
1.596000,0.970000
1.600000,1.037500
1.604000,1.135000
1.608000,1.170000
1.612000,1.115000
1.616000,1.095000
1.620000,1.085000
1.624000,1.115000
1.628000,1.187500
1.632000,1.295000
1.636000,1.382500
1.640000,1.375000
1.644000,1.400000
1.648000,1.550000
1.652000,1.725000
1.656000,1.640000
1.660000,1.110000
1.664000,0.535000
1.668000,0.165000
1.672000,0.027500
1.676000,0.075000
1.680000,0.037500
1.684000,-0.225000
1.688000,-0.582500
1.692000,-0.832500
1.696000,-1.150000
1.700000,-1.457500
1.704000,-1.565000
1.708000,-1.347500
1.712000,-1.065000
1.716000,-0.912500
1.720000,-0.887500
1.724000,-0.847500
1.728000,-0.762500
1.732000,-0.612500
1.736000,-0.557500
1.740000,-0.707500
1.744000,-0.810000
1.748000,-0.820000
1.752000,-0.825000
1.756000,-0.900000
1.760000,-0.952500
1.764000,-0.945000
1.768000,-1.062500
1.772000,-1.127500
1.776000,-1.175000
1.780000,-1.215000
1.784000,-1.227500
1.788000,-1.240000
1.792000,-1.137500
1.796000,-0.787500
1.800000,-0.372500
1.804000,0.052500
1.808000,0.262500
1.812000,0.282500
1.816000,0.245000
1.820000,0.110000
1.824000,-0.125000
1.828000,-0.102500
1.832000,0.137500
1.836000,0.327500
1.840000,0.597500
1.844000,0.752500
1.848000,0.722500
1.852000,0.702500
1.856000,0.700000
1.860000,0.537500
1.864000,0.197500
1.868000,0.020000
1.872000,0.232500
1.876000,0.632500
1.880000,0.970000
1.884000,1.137500
1.888000,1.140000
1.892000,1.157500
1.896000,1.200000
1.900000,1.095000
1.904000,0.587500
1.908000,-0.060000
1.912000,-0.502500
1.916000,-0.582500
1.920000,-0.547500
1.924000,-0.597500
1.928000,-0.802500
1.932000,-1.077500
1.936000,-1.370000
1.940000,-1.690000
1.944000,-1.935000
1.948000,-2.047500
1.952000,-2.045000
