time_seconds,"record cu35, signal 0"
0.000000,0.750000
0.004000,0.785000
0.008000,0.785000
0.012000,0.765000
0.016000,0.742500
0.020000,0.725000
0.024000,0.697500
0.028000,0.672500
0.032000,0.637500
0.036000,0.615000
0.040000,0.600000
0.044000,0.597500
0.048000,0.605000
0.052000,0.605000
0.056000,0.600000
0.060000,0.590000
0.064000,0.567500
0.068000,0.545000
0.072000,0.547500
0.076000,0.525000
0.080000,0.487500
0.084000,0.455000
0.088000,0.442500
0.092000,0.435000
0.096000,0.442500
0.100000,0.427500
0.104000,0.402500
0.108000,0.380000
0.112000,0.382500
0.116000,0.395000
0.120000,0.432500
0.124000,0.465000
0.128000,0.470000
0.132000,0.417500
0.136000,0.380000
0.140000,0.360000
0.144000,0.357500
0.148000,0.360000
0.152000,0.337500
0.156000,0.312500
0.160000,0.297500
0.164000,0.297500
0.168000,0.267500
0.172000,0.207500
0.176000,0.127500
0.180000,0.075000
0.184000,0.035000
0.188000,0.000000
0.192000,-0.087500
0.196000,-0.127500
0.200000,-0.155000
0.204000,-0.170000
0.208000,-0.172500
0.212000,-0.162500
0.216000,-0.155000
0.220000,-0.157500
0.224000,-0.172500
0.228000,-0.172500
0.232000,-0.162500
0.236000,-0.147500
0.240000,-0.112500
0.244000,0.000000
0.248000,0.060000
0.252000,0.112500
0.256000,0.147500
0.260000,0.155000
0.264000,0.170000
0.268000,0.187500
0.272000,0.210000
0.276000,0.210000
0.280000,0.207500
0.284000,0.202500
0.288000,0.202500
0.292000,0.192500
0.296000,0.195000
0.300000,0.202500
0.304000,0.222500
0.308000,0.247500
0.312000,0.270000
0.316000,0.275000
0.320000,0.305000
0.324000,0.337500
0.328000,0.375000
0.332000,0.397500
0.336000,0.420000
0.340000,0.442500
0.344000,0.462500
0.348000,0.447500
0.352000,0.387500
0.356000,0.342500
0.360000,0.335000
0.364000,0.360000
0.368000,0.397500
0.372000,0.427500
0.376000,0.440000
0.380000,0.465000
0.384000,0.495000
0.388000,0.510000
0.392000,0.515000
0.396000,0.525000
0.400000,0.517500
0.404000,0.515000
0.408000,0.530000
0.412000,0.545000
0.416000,0.552500
0.420000,0.552500
0.424000,0.537500
0.428000,0.547500
0.432000,0.562500
0.436000,0.567500
0.440000,0.560000
0.444000,0.492500
0.448000,0.420000
0.452000,0.405000
0.456000,0.435000
0.460000,0.435000
0.464000,0.402500
0.468000,0.292500
0.472000,0.150000
0.476000,0.135000
0.480000,0.285000
0.484000,0.545000
0.488000,0.900000
0.492000,1.287500
0.496000,1.725000
0.500000,2.062500
0.504000,2.255000
0.508000,2.302500
0.512000,2.175000
0.516000,1.770000
0.520000,1.190000
0.524000,0.612500
0.528000,0.102500
0.532000,-0.357500
0.536000,-0.750000
0.540000,-1.162500
0.544000,-1.537500
0.548000,-1.797500
0.552000,-1.852500
0.556000,-1.792500
0.560000,-1.800000
0.564000,-1.842500
0.568000,-1.755000
0.572000,-1.492500
0.576000,-1.107500
0.580000,-0.702500
0.584000,-0.327500
0.588000,0.015000
0.592000,0.192500
0.596000,0.245000
0.600000,0.180000
0.604000,0.090000
0.608000,0.045000
0.612000,0.045000
0.616000,0.065000
0.620000,0.082500
0.624000,0.080000
0.628000,0.110000
0.632000,0.200000
0.636000,0.312500
0.640000,0.420000
0.644000,0.562500
0.648000,0.725000
0.652000,0.870000
0.656000,0.982500
0.660000,1.065000
0.664000,1.130000
0.668000,1.207500
0.672000,1.310000
0.676000,1.402500
0.680000,1.485000
0.684000,1.515000
0.688000,1.537500
0.692000,1.580000
0.696000,1.665000
0.700000,1.740000
0.704000,1.815000
0.708000,1.867500
0.712000,1.912500
0.716000,1.980000
0.720000,2.085000
0.724000,2.195000
0.728000,2.307500
0.732000,2.400000
0.736000,2.452500
0.740000,2.490000
0.744000,2.550000
0.748000,2.602500
0.752000,2.610000
0.756000,2.562500
0.760000,2.472500
0.764000,2.407500
0.768000,2.345000
0.772000,2.302500
0.776000,2.265000
0.780000,2.257500
0.784000,2.220000
0.788000,2.142500
0.792000,2.070000
0.796000,1.972500
0.800000,1.875000
0.804000,1.800000
0.808000,1.725000
0.812000,1.625000
0.816000,1.505000
0.820000,1.387500
0.824000,1.297500
0.828000,1.250000
0.832000,1.205000
0.836000,1.145000
0.840000,1.055000
0.844000,0.957500
0.848000,0.825000
0.852000,0.660000
0.856000,0.502500
0.860000,0.380000
0.864000,0.292500
0.868000,0.222500
0.872000,0.170000
0.876000,0.110000
0.880000,0.057500
0.884000,0.022500
0.888000,0.022500
0.892000,0.015000
0.896000,0.020000
0.900000,0.015000
0.904000,0.012500
0.908000,-0.045000
0.912000,-0.060000
0.916000,-0.082500
0.920000,-0.112500
0.924000,-0.150000
0.928000,-0.172500
0.932000,-0.217500
0.936000,-0.292500
0.940000,-0.367500
0.944000,-0.417500
0.948000,-0.412500
0.952000,-0.367500
0.956000,-0.345000
0.960000,-0.372500
0.964000,-0.410000
0.968000,-0.427500
0.972000,-0.427500
0.976000,-0.425000
0.980000,-0.410000
0.984000,-0.410000
0.988000,-0.405000
0.992000,-0.390000
0.996000,-0.357500
1.000000,-0.352500
1.004000,-0.335000
1.008000,-0.290000
1.012000,-0.247500
1.016000,-0.237500
1.020000,-0.210000
1.024000,-0.172500
1.028000,-0.110000
1.032000,0.000000
1.036000,0.087500
1.040000,0.142500
1.044000,0.155000
1.048000,0.132500
1.052000,0.102500
1.056000,0.102500
1.060000,0.127500
1.064000,0.142500
1.068000,0.125000
1.072000,0.102500
1.076000,0.057500
1.080000,0.007500
1.084000,-0.067500
1.088000,-0.090000
1.092000,-0.125000
1.096000,-0.135000
1.100000,-0.165000
1.104000,-0.245000
1.108000,-0.425000
1.112000,-0.650000
1.116000,-0.897500
1.120000,-1.095000
1.124000,-1.207500
1.128000,-1.205000
1.132000,-1.070000
1.136000,-0.905000
1.140000,-0.740000
1.144000,-0.552500
1.148000,-0.395000
1.152000,-0.232500
1.156000,-0.125000
1.160000,-0.162500
1.164000,-0.222500
1.168000,-0.277500
1.172000,-0.320000
1.176000,-0.342500
1.180000,-0.365000
1.184000,-0.447500
1.188000,-0.570000
1.192000,-0.740000
1.196000,-0.860000
1.200000,-0.915000
1.204000,-0.935000
1.208000,-0.877500
1.212000,-0.780000
1.216000,-0.697500
1.220000,-0.615000
1.224000,-0.480000
1.228000,-0.352500
1.232000,-0.267500
1.236000,-0.225000
1.240000,-0.192500
1.244000,-0.165000
1.248000,-0.200000
1.252000,-0.270000
1.256000,-0.307500
1.260000,-0.330000
1.264000,-0.342500
1.268000,-0.330000
1.272000,-0.297500
1.276000,-0.275000
1.280000,-0.252500
1.284000,-0.245000
1.288000,-0.262500
1.292000,-0.300000
1.296000,-0.335000
1.300000,-0.357500
1.304000,-0.380000
1.308000,-0.412500
1.312000,-0.425000
1.316000,-0.412500
1.320000,-0.387500
1.324000,-0.380000
1.328000,-0.387500
1.332000,-0.425000
1.336000,-0.502500
1.340000,-0.607500
1.344000,-0.710000
1.348000,-0.785000
1.352000,-0.845000
1.356000,-0.892500
1.360000,-0.945000
1.364000,-1.027500
1.368000,-1.117500
1.372000,-1.140000
1.376000,-1.130000
1.380000,-1.077500
1.384000,-1.035000
1.388000,-0.967500
1.392000,-0.885000
1.396000,-0.770000
1.400000,-0.665000
1.404000,-0.570000
1.408000,-0.492500
1.412000,-0.405000
1.416000,-0.337500
1.420000,-0.300000
1.424000,-0.270000
1.428000,-0.245000
1.432000,-0.232500
1.436000,-0.225000
1.440000,-0.222500
1.444000,-0.202500
1.448000,-0.155000
1.452000,-0.067500
1.456000,0.060000
1.460000,0.155000
1.464000,0.202500
1.468000,0.217500
1.472000,0.225000
1.476000,0.200000
1.480000,0.195000
1.484000,0.207500
1.488000,0.232500
1.492000,0.275000
1.496000,0.307500
1.500000,0.335000
1.504000,0.365000
1.508000,0.397500
1.512000,0.417500
1.516000,0.427500
1.520000,0.417500
1.524000,0.417500
1.528000,0.465000
1.532000,0.530000
1.536000,0.560000
1.540000,0.537500
1.544000,0.515000
1.548000,0.532500
1.552000,0.562500
1.556000,0.612500
1.560000,0.635000
1.564000,0.607500
1.568000,0.552500
1.572000,0.495000
1.576000,0.432500
1.580000,0.382500
1.584000,0.335000
1.588000,0.330000
1.592000,0.357500
1.596000,0.380000
1.600000,0.382500
1.604000,0.365000
1.608000,0.352500
1.612000,0.352500
1.616000,0.357500
1.620000,0.345000
1.624000,0.345000
1.628000,0.365000
1.632000,0.395000
1.636000,0.412500
1.640000,0.417500
1.644000,0.405000
1.648000,0.402500
1.652000,0.405000
1.656000,0.412500
1.660000,0.420000
1.664000,0.420000
1.668000,0.417500
1.672000,0.427500
1.676000,0.440000
1.680000,0.470000
1.684000,0.495000
1.688000,0.517500
1.692000,0.517500
1.696000,0.502500
1.700000,0.470000
1.704000,0.457500
1.708000,0.470000
1.712000,0.507500
1.716000,0.522500
1.720000,0.517500
1.724000,0.492500
1.728000,0.455000
1.732000,0.457500
1.736000,0.480000
1.740000,0.495000
1.744000,0.517500
1.748000,0.540000
1.752000,0.532500
1.756000,0.540000
1.760000,0.545000
1.764000,0.537500
1.768000,0.532500
1.772000,0.547500
1.776000,0.547500
1.780000,0.562500
1.784000,0.577500
1.788000,0.590000
1.792000,0.582500
1.796000,0.585000
1.800000,0.592500
1.804000,0.597500
1.808000,0.592500
1.812000,0.600000
1.816000,0.615000
1.820000,0.600000
1.824000,0.570000
1.828000,0.555000
1.832000,0.537500
1.836000,0.530000
1.840000,0.532500
1.844000,0.530000
1.848000,0.510000
1.852000,0.470000
1.856000,0.462500
1.860000,0.457500
1.864000,0.432500
1.868000,0.390000
1.872000,0.360000
1.876000,0.350000
1.880000,0.335000
1.884000,0.312500
1.888000,0.285000
1.892000,0.260000
1.896000,0.252500
1.900000,0.267500
1.904000,0.267500
1.908000,0.237500
1.912000,0.217500
1.916000,0.192500
1.920000,0.180000
1.924000,0.180000
1.928000,0.180000
1.932000,0.177500
1.936000,0.177500
1.940000,0.187500
1.944000,0.215000
1.948000,0.237500
1.952000,0.230000
1.956000,0.225000
1.960000,0.240000
1.964000,0.282500
1.968000,0.312500
1.972000,0.315000
1.976000,0.270000
1.980000,0.240000
1.984000,0.230000
1.988000,0.222500
1.992000,0.215000
1.996000,0.217500
2.000000,0.217500
2.004000,0.217500
2.008000,0.215000
2.012000,0.232500
2.016000,0.262500
2.020000,0.292500
2.024000,0.297500
2.028000,0.290000
2.032000,0.240000
2.036000,0.155000
2.040000,0.065000
2.044000,-0.037500
2.048000,-0.067500
2.052000,0.045000
2.056000,0.127500
2.060000,-0.042500
2.064000,-0.312500
2.068000,-0.525000
2.072000,-0.682500
2.076000,-0.787500
2.080000,-0.862500
2.084000,-1.185000
2.088000,-1.275000
2.092000,-1.542500
2.096000,-1.747500
2.100000,-1.760000
2.104000,-1.752500
2.108000,-1.632500
2.112000,-1.392500
2.116000,-1.252500
2.120000,-1.317500
2.124000,-1.400000
2.128000,-1.335000
2.132000,-1.190000
2.136000,-0.987500
2.140000,-0.765000
2.144000,-0.545000
2.148000,-0.357500
2.152000,-0.230000
2.156000,-0.142500
2.160000,-0.105000
2.164000,-0.045000
2.168000,0.072500
2.172000,0.202500
2.176000,0.330000
2.180000,0.447500
2.184000,0.502500
2.188000,0.522500
2.192000,0.537500
2.196000,0.552500
2.200000,0.545000
2.204000,0.567500
2.208000,0.607500
2.212000,0.650000
2.216000,0.690000
2.220000,0.747500
2.224000,0.807500
2.228000,0.862500
2.232000,0.897500
2.236000,0.922500
2.240000,0.950000
2.244000,0.975000
2.248000,1.012500
2.252000,1.025000
2.256000,1.042500
2.260000,1.057500
2.264000,1.077500
2.268000,1.077500
2.272000,1.050000
2.276000,0.980000
2.280000,0.927500
2.284000,0.852500
2.288000,0.780000
2.292000,0.727500
2.296000,0.705000
2.300000,0.705000
2.304000,0.710000
2.308000,0.690000
2.312000,0.657500
2.316000,0.612500
2.320000,0.567500
2.324000,0.552500
2.328000,0.560000
2.332000,0.545000
2.336000,0.522500
2.340000,0.525000
2.344000,0.522500
2.348000,0.515000
2.352000,0.507500
2.356000,0.522500
2.360000,0.525000
2.364000,0.492500
2.368000,0.405000
2.372000,0.300000
2.376000,0.200000
2.380000,0.117500
2.384000,0.060000
2.388000,0.037500
2.392000,0.027500
2.396000,0.052500
2.400000,0.072500
2.404000,0.095000
2.408000,0.090000
2.412000,0.090000
2.416000,0.087500
2.420000,0.095000
2.424000,0.117500
2.428000,0.147500
2.432000,0.187500
2.436000,0.215000
2.440000,0.222500
2.444000,0.232500
2.448000,0.262500
2.452000,0.290000
2.456000,0.307500
2.460000,0.312500
2.464000,0.320000
2.468000,0.337500
2.472000,0.357500
2.476000,0.372500
2.480000,0.405000
2.484000,0.432500
2.488000,0.457500
2.492000,0.432500
2.496000,0.252500
2.500000,-0.087500
2.504000,-0.232500
2.508000,-0.207500
2.512000,-0.110000
2.516000,0.057500
2.520000,0.187500
2.524000,0.192500
2.528000,0.240000
2.532000,0.297500
2.536000,0.252500
2.540000,0.192500
2.544000,0.180000
2.548000,0.192500
2.552000,0.195000
2.556000,0.192500
2.560000,0.180000
2.564000,0.195000
2.568000,0.217500
2.572000,0.210000
2.576000,0.177500
2.580000,0.165000
2.584000,0.172500
2.588000,0.200000
2.592000,0.230000
2.596000,0.260000
2.600000,0.267500
2.604000,0.262500
2.608000,0.267500
2.612000,0.270000
2.616000,0.285000
2.620000,0.305000
2.624000,0.330000
2.628000,0.365000
2.632000,0.405000
2.636000,0.427500
2.640000,0.432500
2.644000,0.427500
2.648000,0.427500
2.652000,0.435000
2.656000,0.457500
2.660000,0.485000
2.664000,0.507500
2.668000,0.502500
2.672000,0.487500
2.676000,0.462500
2.680000,0.455000
2.684000,0.470000
2.688000,0.495000
2.692000,0.500000
2.696000,0.495000
2.700000,0.485000
2.704000,0.477500
2.708000,0.472500
2.712000,0.495000
2.716000,0.492500
2.720000,0.480000
2.724000,0.487500
2.728000,0.500000
2.732000,0.495000
2.736000,0.472500
2.740000,0.465000
2.744000,0.480000
2.748000,0.510000
2.752000,0.537500
2.756000,0.562500
2.760000,0.530000
2.764000,0.465000
2.768000,0.417500
2.772000,0.397500
2.776000,0.375000
2.780000,0.367500
2.784000,0.350000
2.788000,0.330000
2.792000,0.297500
2.796000,0.262500
2.800000,0.230000
2.804000,0.170000
2.808000,0.097500
2.812000,0.027500
2.816000,-0.080000
2.820000,-0.155000
2.824000,-0.230000
2.828000,-0.312500
2.832000,-0.420000
2.836000,-0.522500
2.840000,-0.560000
2.844000,-0.547500
2.848000,-0.500000
2.852000,-0.507500
2.856000,-0.582500
2.860000,-0.680000
2.864000,-0.780000
2.868000,-0.870000
2.872000,-0.920000
2.876000,-0.912500
2.880000,-0.845000
2.884000,-0.740000
2.888000,-0.620000
2.892000,-0.500000
2.896000,-0.405000
2.900000,-0.342500
2.904000,-0.270000
2.908000,-0.215000
2.912000,-0.170000
2.916000,-0.127500
2.920000,-0.097500
2.924000,-0.090000
2.928000,0.005000
2.932000,0.095000
2.936000,0.172500
2.940000,0.232500
2.944000,0.252500
2.948000,0.245000
2.952000,0.252500
2.956000,0.282500
2.960000,0.300000
2.964000,0.305000
2.968000,0.292500
2.972000,0.285000
2.976000,0.285000
2.980000,0.312500
2.984000,0.357500
2.988000,0.387500
2.992000,0.397500
2.996000,0.410000
3.000000,0.410000
3.004000,0.410000
3.008000,0.427500
3.012000,0.465000
3.016000,0.510000
3.020000,0.567500
3.024000,0.592500
3.028000,0.600000
3.032000,0.577500
3.036000,0.525000
3.040000,0.492500
3.044000,0.487500
3.048000,0.517500
3.052000,0.562500
3.056000,0.630000
3.060000,0.710000
3.064000,0.795000
3.068000,0.855000
3.072000,0.882500
3.076000,0.852500
3.080000,0.777500
3.084000,0.672500
3.088000,0.605000
3.092000,0.570000
3.096000,0.570000
3.100000,0.615000
3.104000,0.665000
3.108000,0.665000
3.112000,0.627500
3.116000,0.540000
3.120000,0.450000
3.124000,0.402500
3.128000,0.397500
3.132000,0.417500
3.136000,0.425000
3.140000,0.412500
3.144000,0.405000
3.148000,0.387500
3.152000,0.345000
3.156000,0.305000
3.160000,0.267500
3.164000,0.232500
3.168000,0.187500
3.172000,0.150000
3.176000,0.117500
3.180000,0.102500
3.184000,0.102500
3.188000,0.110000
3.192000,0.095000
3.196000,0.075000
3.200000,0.060000
3.204000,0.060000
3.208000,0.080000
3.212000,0.117500
3.216000,0.147500
3.220000,0.147500
3.224000,0.142500
3.228000,0.150000
3.232000,0.157500
3.236000,0.150000
3.240000,0.140000
3.244000,0.140000
3.248000,0.147500
3.252000,0.162500
3.256000,0.192500
3.260000,0.195000
3.264000,0.165000
3.268000,0.105000
3.272000,0.052500
3.276000,0.027500
3.280000,0.022500
3.284000,0.005000
3.288000,-0.057500
3.292000,-0.095000
3.296000,-0.120000
3.300000,-0.120000
3.304000,-0.105000
3.308000,-0.095000
3.312000,-0.082500
3.316000,-0.080000
3.320000,-0.072500
3.324000,-0.050000
3.328000,0.012500
3.332000,0.037500
3.336000,0.027500
3.340000,0.007500
3.344000,0.007500
3.348000,0.000000
3.352000,-0.050000
3.356000,-0.067500
3.360000,-0.082500
3.364000,-0.087500
3.368000,-0.097500
3.372000,-0.102500
3.376000,-0.087500
3.380000,-0.072500
3.384000,-0.052500
3.388000,0.020000
3.392000,0.057500
3.396000,0.090000
3.400000,0.120000
3.404000,0.142500
3.408000,0.132500
3.412000,0.127500
3.416000,0.117500
3.420000,0.095000
3.424000,0.065000
3.428000,0.052500
3.432000,0.052500
3.436000,0.050000
3.440000,0.052500
3.444000,0.067500
3.448000,0.087500
3.452000,0.102500
3.456000,0.112500
3.460000,0.105000
3.464000,0.097500
3.468000,0.110000
3.472000,0.142500
3.476000,0.150000
3.480000,0.135000
3.484000,0.105000
3.488000,0.072500
3.492000,0.042500
3.496000,0.045000
3.500000,0.060000
3.504000,0.067500
3.508000,0.065000
3.512000,0.052500
3.516000,0.035000
3.520000,0.027500
3.524000,0.027500
3.528000,0.037500
3.532000,0.065000
3.536000,0.095000
3.540000,0.135000
3.544000,0.157500
3.548000,0.147500
3.552000,0.082500
3.556000,0.000000
3.560000,-0.125000
3.564000,-0.225000
3.568000,-0.350000
3.572000,-0.472500
3.576000,-0.575000
3.580000,-0.657500
3.584000,-0.740000
3.588000,-0.815000
3.592000,-0.897500
3.596000,-0.935000
3.600000,-0.935000
3.604000,-0.822500
3.608000,-0.717500
3.612000,-0.675000
3.616000,-0.687500
3.620000,-0.740000
3.624000,-0.787500
3.628000,-0.792500
3.632000,-0.765000
3.636000,-0.732500
3.640000,-0.717500
3.644000,-0.710000
3.648000,-0.667500
3.652000,-0.615000
3.656000,-0.525000
3.660000,-0.425000
3.664000,-0.320000
3.668000,-0.245000
3.672000,-0.192500
3.676000,-0.140000
3.680000,-0.067500
3.684000,0.030000
3.688000,0.127500
3.692000,0.230000
3.696000,0.300000
3.700000,0.345000
3.704000,0.330000
3.708000,0.285000
3.712000,0.262500
3.716000,0.270000
3.720000,0.285000
3.724000,0.312500
3.728000,0.350000
3.732000,0.390000
3.736000,0.402500
3.740000,0.405000
3.744000,0.405000
3.748000,0.395000
3.752000,0.365000
3.756000,0.357500
3.760000,0.375000
3.764000,0.395000
3.768000,0.390000
3.772000,0.390000
3.776000,0.402500
3.780000,0.417500
3.784000,0.447500
3.788000,0.472500
3.792000,0.457500
3.796000,0.435000
3.800000,0.405000
3.804000,0.382500
3.808000,0.395000
3.812000,0.425000
3.816000,0.465000
3.820000,0.502500
3.824000,0.507500
3.828000,0.507500
3.832000,0.507500
3.836000,0.510000
3.840000,0.517500
3.844000,0.525000
3.848000,0.540000
3.852000,0.562500
3.856000,0.600000
3.860000,0.642500
3.864000,0.675000
3.868000,0.695000
3.872000,0.702500
3.876000,0.705000
3.880000,0.710000
3.884000,0.697500
3.888000,0.682500
3.892000,0.650000
3.896000,0.620000
3.900000,0.585000
3.904000,0.567500
3.908000,0.562500
3.912000,0.560000
3.916000,0.562500
3.920000,0.562500
3.924000,0.560000
3.928000,0.545000
3.932000,0.532500
3.936000,0.507500
3.940000,0.487500
3.944000,0.485000
3.948000,0.487500
3.952000,0.492500
3.956000,0.495000
3.960000,0.487500
3.964000,0.485000
3.968000,0.457500
3.972000,0.417500
3.976000,0.397500
3.980000,0.405000
3.984000,0.397500
3.988000,0.375000
3.992000,0.357500
3.996000,0.342500
4.000000,0.312500
4.004000,0.297500
4.008000,0.275000
4.012000,0.275000
4.016000,0.290000
4.020000,0.315000
4.024000,0.345000
4.028000,0.350000
4.032000,0.337500
4.036000,0.335000
4.040000,0.342500
4.044000,0.360000
4.048000,0.380000
4.052000,0.397500
4.056000,0.410000
4.060000,0.412500
4.064000,0.420000
4.068000,0.412500
4.072000,0.402500
4.076000,0.397500
4.080000,0.412500
4.084000,0.432500
4.088000,0.455000
4.092000,0.455000
4.096000,0.462500
4.100000,0.470000
4.104000,0.495000
4.108000,0.532500
4.112000,0.577500
4.116000,0.605000
4.120000,0.615000
4.124000,0.607500
4.128000,0.597500
4.132000,0.577500
4.136000,0.560000
4.140000,0.552500
4.144000,0.567500
4.148000,0.582500
4.152000,0.582500
