Record CTs CFN CTp CFP STs SFN STp SFP LTs LFN LTp LFP  CSe C+P SSe S+P LSe L+P
1201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1202   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1204   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1205   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1206   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
1207   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2202   0  55   0   0   0  69   0   0   0  23   0   0    0   -   0   -   0   -
2203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2204   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2205   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2206   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
2207   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3202   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3204   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3205   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3206   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
3207   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4202   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4204   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4205   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4206   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
4207   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5201   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5202   0   3   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
5203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5204   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5205   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5206   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
5207   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
6201   0  15   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6202   0  12   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6203   0  11   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6204   0   6   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6205   0  21   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6206   0  61   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
6207   0  29   0   0   0   0   0   0   0   0   0   0    0   -   -   -   -   -
7201   0  13   0   0   0   4   0   0   0   0   0   0    0   -   0   -   -   -
7202   0   1   0   0   0   2   0   0   0   0   0   0    0   -   0   -   -   -
7203   0  12   0   0   0  20   0   0   0   0   0   0    0   -   0   -   -   -
7204   0   0   0   0   0   1   0   0   0   2   0   0    -   -   0   -   0   -
7205   0   4   0   0   0   6   0   0   0   2   0   0    0   -   0   -   0   -
7206   0 409   0   0   0 212   0   0   0  10   0   0    0   -   0   -   0   -
7207   0   0   0   0   0   0   0   0   0   1   0   0    -   -   -   -   0   -
8201   0   1   0   0   0   0   0   0   0   1   0   0    0   -   -   -   0   -
8202   0   0   0   0   0   0   0   0   0   1   0   0    -   -   -   -   0   -
8203   0   0   0   0   0   0   0   0   0   0   0   0    -   -   -   -   -   -
8204   0   1   0   0   0   5   0   0   0   0   0   0    0   -   0   -   -   -
8205   0   2   0   0   0   2   0   0   0   0   0   0    0   -   0   -   -   -
8206   0   2   0   0   0   3   0   0   0   2   0   0    0   -   0   -   0   -
8207   0  49   0   0   0  82   0   0   0  51   0   0    0   -   0   -   0   -
